acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.705919395465995,"[0.7115869017632241, 0.7002518891687658]",0.7041851125265423,0.05994984532069219,56.0,0.0,0.2639759511137389,"[0.19649122807017497, 0.33146067415730285]",1.0962650179862976,0.0001,Y_net,0.32152777777777775,"[0.23333333333333334, 0.4097222222222222]",0.22399942824471125,"[0.1696969696969697, 0.2783018867924528]",valid
0.9608333333333334,"[0.9555555555555556, 0.9661111111111111]",0.41032412645649663,0.06279592941001315,57.0,0.0,0.9205489523035265,"[0.9067599067599061, 0.9343379978471469]",0.13268587816920546,0.0001,Y_net,0.9358621226268286,"[0.9261904761904762, 0.9455337690631809]",0.9057660546002138,"[0.8881278538812786, 0.9234042553191489]",train
0.698992443324937,"[0.7027707808564232, 0.6952141057934509]",0.7105447184936754,0.05946217578482525,57.0,0.0,0.28782608695652123,"[0.2670807453416144, 0.3085714285714281]",1.104707270860672,0.0001,Y_net,0.33259484907227915,"[0.27388535031847133, 0.391304347826087]",0.257661520869068,"[0.2606060606060606, 0.25471698113207547]",valid
0.9655555555555555,"[0.9638888888888889, 0.9672222222222222]",0.40493513888796956,0.06211962548554603,58.0,0.0,0.9300273073438375,"[0.923976608187134, 0.9360780065005411]",0.11526785795059469,0.0001,Y_net,0.9504422951704861,"[0.947242206235012, 0.9536423841059603]",0.9104877100942388,"[0.9018264840182648, 0.9191489361702128]",train
0.6738035264483627,"[0.6397984886649875, 0.707808564231738]",0.7195257350044736,0.058981253749738304,58.0,0.0,0.26620430386310556,"[0.2955665024630537, 0.23684210526315747]",1.2715124785900116,0.0001,Y_net,0.32013350171387334,"[0.24896265560165975, 0.391304347826087]",0.2667238421955403,"[0.36363636363636365, 0.16981132075471697]",valid
0.9636111111111112,"[0.9583333333333334, 0.9688888888888889]",0.39968040495593515,0.06145466278833164,59.0,0.0,0.9265040108614021,"[0.913093858632676, 0.9399141630901282]",0.11187296646336714,0.0001,Y_net,0.9375553857906799,"[0.9270588235294117, 0.948051948051948]",0.9157291363062275,"[0.8995433789954338, 0.9319148936170213]",train
0.7034005037783375,"[0.7292191435768262, 0.6775818639798489]",0.7251043441394965,0.05852891713536034,59.0,0.0,0.32838283828382786,"[0.2904290429042899, 0.36633663366336583]",1.0860833525657654,0.0001,Y_net,0.35212862318840576,"[0.3188405797101449, 0.3854166666666667]",0.3078616352201258,"[0.26666666666666666, 0.3490566037735849]",valid
0.9605555555555556,"[0.96, 0.9611111111111111]",0.3948320289062699,0.06081757029121528,60.0,0.0,0.9207951525987728,"[0.9168591224018471, 0.9247311827956984]",0.1265214864992433,0.0001,Y_net,0.9311763510767981,"[0.927570093457944, 0.9347826086956522]",0.9106431555426018,"[0.906392694063927, 0.9148936170212766]",train
0.6958438287153652,"[0.6801007556675063, 0.7115869017632241]",0.7320898119054857,0.05807893012543438,60.0,0.0,0.30930785632278124,"[0.30219780219780173, 0.31641791044776074]",1.1822975873947144,0.0001,Y_net,0.35363810924541406,"[0.27638190954773867, 0.43089430894308944]",0.29166666666666663,"[0.3333333333333333, 0.25]",valid
0.9725,"[0.9738888888888889, 0.9711111111111111]",0.38982096764269053,0.060183996039920064,61.0,0.0,0.9446916552585405,"[0.9455388180764768, 0.9438444924406042]",0.10568219766848617,0.0001,Y_net,0.9591666666666667,"[0.96, 0.9583333333333334]",0.9306470416788108,"[0.9315068493150684, 0.9297872340425531]",train
0.672544080604534,"[0.6523929471032746, 0.6926952141057935]",0.7379534559384469,0.05760606045594379,61.0,0.0,0.3068823831535691,"[0.30303030303030254, 0.3107344632768356]",1.1243967562913895,0.0001,Y_net,0.3235321017011158,"[0.2597402597402597, 0.3873239436619718]",0.3115351629502573,"[0.36363636363636365, 0.25943396226415094]",valid
0.9683333333333333,"[0.9694444444444444, 0.9672222222222222]",0.38500433865395856,0.05957442739209722,62.0,0.0,0.9368086601373538,"[0.9368541905855333, 0.9367631296891741]",0.10815451223817137,0.0001,Y_net,0.9430538859431661,"[0.9422632794457275, 0.9438444924406048]",0.9306470416788108,"[0.9315068493150684, 0.9297872340425531]",train
0.6801007556675063,"[0.6952141057934509, 0.6649874055415617]",0.7442049192530769,0.05717755423947459,62.0,0.0,0.3116904145077715,"[0.3124999999999995, 0.31088082901554354]",1.1624058187007904,0.0001,Y_net,0.3194726166328601,"[0.29411764705882354, 0.3448275862068966]",0.3081761006289308,"[0.3333333333333333, 0.2830188679245283]",valid
0.9694444444444444,"[0.9633333333333334, 0.9755555555555555]",0.3803011183801573,0.05896832992576593,63.0,0.0,0.9379074135454639,"[0.9234338747099762, 0.9523809523809518]",0.10478243057926497,0.0001,Y_net,0.9539211204388662,"[0.9386792452830188, 0.9691629955947136]",0.9224230059263577,"[0.908675799086758, 0.9361702127659575]",train
